Transcript	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT3G21250.5	0.41085700000000003	330.469	243.462	403.47	263.125	272.117
AT3G21250.6	518.321	424.806	353.538	682.205	667.4	769.431
AT3G21260.1	102.143	62.5594	21.8018	34.6979	33.1743	53.6202
AT3G21260.2	29.7054	60.5019	75.6407	28.5318	26.9316	26.7385
AT3G21260.3	37.1511	38.9387	11.5576	37.7704	33.8941	44.6412
AT3G21270.1	330	357	377	629	543	589
AT3G21280.1	105.787	114.635	57.2973	117.974	105.372	133.866
AT3G21280.2	33.4482	51.3649	90.8437	89.1593	80.6279	66.2731
AT3G21290.1	294.382	0.368262	6.39597e-4	521.786	322.332	547.23
AT3G21290.2	15.6175	468.632	311.999	0.214003	242.668	0.769711
AT3G21295.1	56.0913	91.4182	139.162	206.149	212.683	146.128
AT3G21295.2	0	0	1.99342e-6	0	0	0
AT3G21295.3	85.9087	92.5818	13.8378	129.851	140.317	222.381
AT3G21300.1	617	611	507	324	264	303
AT3G21305.1	0	0	0	0	0	0
AT3G21310.1	1.29392	0	0	27.6452	5.70304	0
AT3G21310.2	9.32627	0	0	6.21054	5.2374	0
AT3G21310.3	12.3798	26	23	8.14431	8.05955	23.2286
AT3G21320.1	0	0	0	0	0	3.77137
AT3G21330.1	2	5	1	6	6	6
AT3G21340.1	0	0	0	0	0	0
AT3G21340.2	0	0	0	0	0	0
AT3G21350.1	264.434	260.214	291.896	431.111	381.149	411.786
AT3G21350.2	41.5661	47.7856	7.10359	36.8894	12.8514	34.2141
AT3G21351.1	25	26	27	7	10	14
AT3G21352.1	0	2	1	0	0	0
AT3G21360.1	218	205.983	224	269.992	305	293
AT3G21370.1	0	1.01741	0	1.00802	0	0
AT3G21371.1	0	0	0	0	0	0
AT3G21380.1	0	0	0	0	1	0
AT3G21390.1	410.573	400.163	393	232.979	414.205	449.803
AT3G21390.2	75.4272	106.837	0	100.021	11.7947	46.1967
AT3G21400.1	123.669	137.862	95.3044	147.982	127.702	120.61
AT3G21405.1	16.3306	14.1377	10.6956	25.0181	18.2978	14.3899
AT3G21410.1	1	0	0	0	0	0
AT3G21420.1	23	40	27	45	80	78
AT3G21430.2	33.2907	82.7485	49.8384	110.843	146.046	122.607
AT3G21430.3	59.5877	37.8791	19.6496	37.153	14.1213	52.707
AT3G21430.4	365.122	469.372	387.512	659.004	692.833	610.686
AT3G21450.1	0	0	0	0	0	0
AT3G21460.1	158	150	201	40	45	40
AT3G21465.1	114.258	233.998	0.01546	289.947	196.499	0.0108488
AT3G21465.2	87.7419	0.00220617	148.985	4.0531	27.5014	259.989
AT3G21470.1	14	16	10	12	12	12
AT3G21473.1	0	1	0	0	0	0
AT3G21475.1	0	0	0	0	0	0
AT3G21480.1	145	246.015	136	249	210	214
AT3G21490.1	1	0	0	1	1	0
AT3G21500.1	2.00168	5.00239	0	6.00337	1.00071	9.03019
AT3G21500.2	0	0	0	0	0	9.97148
AT3G21500.3	0	0	0	0	0	2.15288e-4
AT3G21510.1	66	91	57	81	79	80
AT3G21520.1	6	7	0	11.3563	14.4694	40.9502
AT3G21530.1	52.3662	40.9212	29.9229	21.0009	27.4486	55.4078
AT3G21530.2	0	0	0	17.0092	9.44141	0
AT3G21530.3	60.6338	76.0043	50.0771	29.9899	19.11	3.68178
AT3G21530.4	0	19.0744	0	0	0	0.274612
AT3G21540.1	344	367	258	303	203	262
AT3G21550.1	39	26	66	128	36	46
AT3G21560.1	533	528	845	1045	1124	848.017
AT3G21570.1	0	0	1	0	0	0
AT3G21580.1	452	443	413	488	513	436
AT3G21590.1	0	0	0	0	0	0
AT3G21590.2	0	0	0	0	0	0
AT3G21590.3	0	0	0	0	1	0
AT3G21600.1	80	88	62.0404	157.381	125	106.754
AT3G21600.2	0	0	3.35623	0	0	10.9428
AT3G21600.3	0	0	30.6034	19.6191	0	34.3035
AT3G21610.1	27.2585	36.9044	36.2635	38.4739	41.1621	32.7091
AT3G21610.2	216.131	203.096	183.125	341.526	285.838	377.291
AT3G21620.1	5	6	4	5	5	12
AT3G21630.1	434	479	429	830	1071	1091
AT3G21640.1	299	353	297	546	624	637
AT3G21650.1	207.177	237.732	226.243	296.188	229.67	270.871
AT3G21650.2	50.8228	16.2678	24.7572	40.8118	44.3297	23.4583
AT3G21660.1	18	0	14	0	0	0
AT3G21660.2	0	16	0	5	9	9
AT3G21670.1	3101	2911	2741	1143	937	804
AT3G21680.1	7	6	5	10	6	7
AT3G21690.1	1622	1425	1658	2091.53	1914.78	1581.73
